day,price,sub_category,main_category
2017-10-04,10200,Beras Kualitas Bawah 1,Beras
2017-10-05,10150,Beras Kualitas Bawah 1,Beras
2017-10-06,10250,Beras Kualitas Bawah 1,Beras
2017-10-09,10250,Beras Kualitas Bawah 1,Beras
2017-10-10,10250,Beras Kualitas Bawah 1,Beras
2017-10-11,10200,Beras Kualitas Bawah 1,Beras
2017-10-12,10200,Beras Kualitas Bawah 1,Beras
2017-10-13,10200,Beras Kualitas Bawah 1,Beras
2017-10-16,10200,Beras Kualitas Bawah 1,Beras
2017-10-17,10250,Beras Kualitas Bawah 1,Beras
2017-10-18,10250,Beras Kualitas Bawah 1,Beras
2017-10-19,10250,Beras Kualitas Bawah 1,Beras
2017-10-20,10200,Beras Kualitas Bawah 1,Beras
2017-10-23,10200,Beras Kualitas Bawah 1,Beras
2017-10-24,10250,Beras Kualitas Bawah 1,Beras
2017-10-25,10250,Beras Kualitas Bawah 1,Beras
2017-10-26,10300,Beras Kualitas Bawah 1,Beras
2017-10-27,10200,Beras Kualitas Bawah 1,Beras
2017-10-30,10300,Beras Kualitas Bawah 1,Beras
2017-10-31,10300,Beras Kualitas Bawah 1,Beras
2017-11-01,10300,Beras Kualitas Bawah 1,Beras
2017-11-02,10300,Beras Kualitas Bawah 1,Beras
2017-11-03,10300,Beras Kualitas Bawah 1,Beras
2017-11-06,10300,Beras Kualitas Bawah 1,Beras
2017-11-07,10300,Beras Kualitas Bawah 1,Beras
2017-11-08,10250,Beras Kualitas Bawah 1,Beras
2017-11-09,10300,Beras Kualitas Bawah 1,Beras
2017-11-10,10200,Beras Kualitas Bawah 1,Beras
2017-11-13,10300,Beras Kualitas Bawah 1,Beras
2017-11-14,10300,Beras Kualitas Bawah 1,Beras
2017-11-15,10300,Beras Kualitas Bawah 1,Beras
2017-11-16,10350,Beras Kualitas Bawah 1,Beras
2017-11-17,10350,Beras Kualitas Bawah 1,Beras
2017-11-20,10350,Beras Kualitas Bawah 1,Beras
2017-11-21,10350,Beras Kualitas Bawah 1,Beras
2017-11-22,10350,Beras Kualitas Bawah 1,Beras
2017-11-23,10300,Beras Kualitas Bawah 1,Beras
2017-11-24,10350,Beras Kualitas Bawah 1,Beras
2017-11-27,10350,Beras Kualitas Bawah 1,Beras
2017-11-28,10350,Beras Kualitas Bawah 1,Beras
2017-11-29,10350,Beras Kualitas Bawah 1,Beras
2017-11-30,10350,Beras Kualitas Bawah 1,Beras
2017-12-01,9750,Beras Kualitas Bawah 1,Beras
2017-12-04,10400,Beras Kualitas Bawah 1,Beras
2017-12-05,10400,Beras Kualitas Bawah 1,Beras
2017-12-06,10400,Beras Kualitas Bawah 1,Beras
2017-12-07,10400,Beras Kualitas Bawah 1,Beras
2017-12-08,10400,Beras Kualitas Bawah 1,Beras
2017-12-11,10400,Beras Kualitas Bawah 1,Beras
2017-12-12,10400,Beras Kualitas Bawah 1,Beras
2017-12-13,10450,Beras Kualitas Bawah 1,Beras
2017-12-14,10450,Beras Kualitas Bawah 1,Beras
2017-12-15,10450,Beras Kualitas Bawah 1,Beras
2017-12-18,10450,Beras Kualitas Bawah 1,Beras
2017-12-19,10500,Beras Kualitas Bawah 1,Beras
2017-12-20,10500,Beras Kualitas Bawah 1,Beras
2017-12-21,10550,Beras Kualitas Bawah 1,Beras
2017-12-22,10500,Beras Kualitas Bawah 1,Beras
2017-12-27,10550,Beras Kualitas Bawah 1,Beras
2017-12-28,10550,Beras Kualitas Bawah 1,Beras
2017-12-29,10600,Beras Kualitas Bawah 1,Beras
2017-01-03,9650,Beras Kualitas Bawah 2,Beras
2017-01-04,9700,Beras Kualitas Bawah 2,Beras
2017-01-05,9700,Beras Kualitas Bawah 2,Beras
2017-01-06,9700,Beras Kualitas Bawah 2,Beras
2017-01-09,9700,Beras Kualitas Bawah 2,Beras
2017-01-10,9700,Beras Kualitas Bawah 2,Beras
2017-01-11,9650,Beras Kualitas Bawah 2,Beras
2017-01-12,9700,Beras Kualitas Bawah 2,Beras
2017-01-13,9700,Beras Kualitas Bawah 2,Beras
2017-01-16,9700,Beras Kualitas Bawah 2,Beras
2017-01-17,9700,Beras Kualitas Bawah 2,Beras
2017-01-18,9700,Beras Kualitas Bawah 2,Beras
2017-01-19,9700,Beras Kualitas Bawah 2,Beras
2017-01-20,9700,Beras Kualitas Bawah 2,Beras
2017-01-23,9700,Beras Kualitas Bawah 2,Beras
2017-01-24,9700,Beras Kualitas Bawah 2,Beras
2017-01-25,9650,Beras Kualitas Bawah 2,Beras
2017-01-26,9700,Beras Kualitas Bawah 2,Beras
2017-01-27,9650,Beras Kualitas Bawah 2,Beras
2017-01-30,9700,Beras Kualitas Bawah 2,Beras
2017-01-31,9700,Beras Kualitas Bawah 2,Beras
2017-02-01,9650,Beras Kualitas Bawah 2,Beras
2017-02-02,9650,Beras Kualitas Bawah 2,Beras
2017-02-03,9650,Beras Kualitas Bawah 2,Beras
2017-02-06,9750,Beras Kualitas Bawah 2,Beras
2017-02-07,9700,Beras Kualitas Bawah 2,Beras
2017-02-08,9700,Beras Kualitas Bawah 2,Beras
2017-02-09,9650,Beras Kualitas Bawah 2,Beras
2017-02-10,9700,Beras Kualitas Bawah 2,Beras
2017-02-13,9700,Beras Kualitas Bawah 2,Beras
2017-02-14,9700,Beras Kualitas Bawah 2,Beras
2017-02-15,8900,Beras Kualitas Bawah 2,Beras
2017-02-16,9700,Beras Kualitas Bawah 2,Beras
2017-02-17,9700,Beras Kualitas Bawah 2,Beras
2017-02-20,9700,Beras Kualitas Bawah 2,Beras
2017-02-21,9700,Beras Kualitas Bawah 2,Beras
2017-02-22,9700,Beras Kualitas Bawah 2,Beras
2017-02-23,9700,Beras Kualitas Bawah 2,Beras
2017-02-24,9700,Beras Kualitas Bawah 2,Beras
2017-02-27,9700,Beras Kualitas Bawah 2,Beras
2017-02-28,9650,Beras Kualitas Bawah 2,Beras
2017-03-01,9650,Beras Kualitas Bawah 2,Beras
2017-03-02,9650,Beras Kualitas Bawah 2,Beras
2017-03-03,9650,Beras Kualitas Bawah 2,Beras
2017-03-06,9700,Beras Kualitas Bawah 2,Beras
2017-03-07,9650,Beras Kualitas Bawah 2,Beras
